,seed,actions
59,3592570059,"[3, 2, 2, 2, 1, 3, 1, 1, 2, 0, 1, 2, 0, 3, 3, 0, 0, 3, 1, 0, 2, 2, 1, 3, 1, 1, 3, 0, 1, 2, 2, 2, 0, 3, 1, 2, 0, 3, 0, 3, 0, 3, 1, 0, 2, 2, 1, 1, 1, 3, 0, 2, 1, 3, 3, 0, 1, 2, 0, 2, 0, 0, 3, 1, 0, 2, 1, 1, 1, 3, 0, 2, 0, 0, 3, 3, 1, 0, 2, 1, 0, 2, 1, 1, 1, 3, 3, 0, 2, 0, 0, 3, 1, 0, 2, 2, 1, 3, 1, 1, 2, 0, 1, 2, 0, 3, 3, 1, 3, 0, 1, 2, 0, 0, 0, 2, 1, 1]"
60,3592570060,"[1, 1, 0, 1, 3, 1, 1, 3, 3, 3, 0, 1, 2, 2, 2, 2, 0, 3, 2, 1, 3, 3, 3, 3, 0, 3, 0, 0, 2, 1, 0, 1, 3, 1, 1, 2, 2, 2, 2, 2, 0, 0, 1, 3, 1, 3, 3, 3, 0, 1, 2, 2, 2, 2, 0, 0, 0, 1, 1, 3, 1, 3, 3, 3, 0, 3, 0, 0, 2, 1, 0, 1, 3, 1, 1, 2, 2, 2, 2, 2, 0, 3, 0, 2, 0, 0, 3, 2, 1, 1, 1, 3, 1, 3, 3, 3, 0]"
61,3592570061,"[1, 0, 0, 0, 3, 3, 0, 3, 3, 1, 1, 2, 0, 1, 3, 0, 2, 2, 2, 2, 1, 1, 3, 0, 2, 0, 0, 3, 3, 1, 3, 1, 3, 0, 0, 2, 3, 1, 2, 2, 2, 1, 0, 0, 2, 1, 3, 3, 3, 0, 2, 1, 2, 2, 1, 0, 1, 3, 0, 3, 0, 2]"
62,3592570062,"[0, 3, 1, 2, 0, 3, 0, 3, 3, 1, 1, 2, 0, 2, 2, 1, 3, 2, 0, 3, 3, 3, 1, 2, 2]"
63,3592570063,"[1, 3, 3, 2, 3, 0, 3, 1, 0, 2, 1, 2, 2, 0, 3, 3]"
64,3592570064,"[2, 1, 2, 1, 0, 3, 0, 2, 1, 2, 3, 1, 3, 0, 0, 0, 2, 2, 2, 1, 1, 3, 3, 0, 2, 1, 2, 1, 1]"
65,3592570065,"[1, 3, 3, 3, 2, 3, 0, 3, 0]"
66,3592570066,"[0, 2, 0, 3, 1, 1, 2, 0, 2]"
67,3592570067,"[2, 0, 3, 1, 0, 0, 2, 1, 1, 1, 1, 3, 0, 1, 0, 2, 0, 0, 3, 3, 2, 3, 0, 2, 2, 1, 1, 1, 3, 0, 1, 1, 2, 0, 0, 0, 0, 3, 3, 1, 3, 2, 0, 2, 2, 1, 3, 1, 1, 1, 2, 0, 0, 0, 3, 0, 3, 3, 1, 3, 0, 1, 2, 0, 2, 2, 1, 3, 2, 1, 1, 1, 2, 0, 0, 0, 0, 3, 3, 3, 3, 1, 2, 2, 0, 2, 1, 1, 1]"
68,3592570068,"[1, 1, 2, 0, 3, 2, 1, 1, 2, 2, 0, 3, 3]"
